building_sqft_per_job,building_type_id,zone_id
500,3,1
700,8,1
250,13,1
800,20,1
900,21,1
500,3,2
700,8,2
250,13,2
800,20,2
900,21,2
500,3,3
700,8,3
250,13,3
800,20,3
900,21,3
500,3,4
700,8,4
250,13,4
800,20,4
900,21,4
500,3,5
700,8,5
250,13,5
800,20,5
900,21,5
500,3,6
700,8,6
250,13,6
800,20,6
900,21,6
500,3,7
700,8,7
250,13,7
800,20,7
900,21,7
500,3,8
700,8,8
250,13,8
800,20,8
900,21,8
500,3,9
700,8,9
250,13,9
800,20,9
900,21,9
500,3,10
700,8,10
250,13,10
800,20,10
900,21,10
500,3,11
700,8,11
250,13,11
800,20,11
900,21,11
500,3,12
700,8,12
250,13,12
800,20,12
900,21,12
500,3,13
700,8,13
250,13,13
800,20,13
900,21,13
500,3,14
700,8,14
250,13,14
800,20,14
900,21,14
500,3,15
700,8,15
250,13,15
800,20,15
900,21,15
500,3,16
700,8,16
250,13,16
800,20,16
900,21,16
500,3,17
700,8,17
250,13,17
800,20,17
900,21,17
500,3,18
700,8,18
250,13,18
800,20,18
900,21,18
500,3,19
700,8,19
250,13,19
800,20,19
900,21,19
500,3,20
700,8,20
250,13,20
800,20,20
900,21,20
500,3,21
700,8,21
250,13,21
800,20,21
900,21,21
500,3,22
700,8,22
250,13,22
800,20,22
900,21,22
500,3,23
700,8,23
250,13,23
800,20,23
900,21,23
500,3,24
700,8,24
250,13,24
800,20,24
900,21,24
500,3,25
700,8,25
250,13,25
800,20,25
900,21,25
500,3,26
700,8,26
250,13,26
800,20,26
900,21,26
500,3,27
700,8,27
250,13,27
800,20,27
900,21,27
500,3,28
700,8,28
250,13,28
800,20,28
900,21,28
500,3,29
700,8,29
250,13,29
800,20,29
900,21,29
500,3,30
700,8,30
250,13,30
800,20,30
900,21,30
500,3,31
700,8,31
250,13,31
800,20,31
900,21,31
500,3,32
700,8,32
250,13,32
800,20,32
900,21,32
500,3,33
700,8,33
250,13,33
800,20,33
900,21,33
500,3,34
700,8,34
250,13,34
800,20,34
900,21,34
500,3,35
700,8,35
250,13,35
800,20,35
900,21,35
500,3,36
700,8,36
250,13,36
800,20,36
900,21,36
500,3,37
700,8,37
250,13,37
800,20,37
900,21,37
500,3,38
700,8,38
250,13,38
800,20,38
900,21,38
500,3,39
700,8,39
250,13,39
800,20,39
900,21,39
500,3,40
700,8,40
250,13,40
800,20,40
900,21,40
500,3,41
700,8,41
250,13,41
800,20,41
900,21,41
500,3,42
700,8,42
250,13,42
800,20,42
900,21,42
500,3,43
700,8,43
250,13,43
800,20,43
900,21,43
500,3,44
700,8,44
250,13,44
800,20,44
900,21,44
500,3,45
700,8,45
250,13,45
800,20,45
900,21,45
500,3,46
700,8,46
250,13,46
800,20,46
900,21,46
500,3,47
700,8,47
250,13,47
800,20,47
900,21,47
500,3,48
700,8,48
250,13,48
800,20,48
900,21,48
500,3,49
700,8,49
250,13,49
800,20,49
900,21,49
500,3,50
700,8,50
250,13,50
800,20,50
900,21,50
500,3,51
700,8,51
250,13,51
800,20,51
900,21,51
500,3,52
700,8,52
250,13,52
800,20,52
900,21,52
500,3,53
700,8,53
250,13,53
800,20,53
900,21,53
500,3,54
700,8,54
250,13,54
800,20,54
900,21,54
500,3,55
700,8,55
250,13,55
800,20,55
900,21,55
500,3,56
700,8,56
250,13,56
800,20,56
900,21,56
500,3,57
700,8,57
250,13,57
800,20,57
900,21,57
500,3,58
700,8,58
250,13,58
800,20,58
900,21,58
500,3,59
700,8,59
250,13,59
